Unique,Page,Survey,Length,Sex,Locode,Loc,Location,Date,Freq,Code,Signal,Latitude,Longitude,blank,10/16/2024,10/24/2024,11/1/2024,12/27/2024,3/17/2025,5/19/2025,6/11/2025,7/22/2025,9/8/2025,9/24/2025,10/10/2025,10/22/2025,10/29/2025,,
1,1,0,362,F,1,Red,Camp to Confluence,9/28/2024,150.4,1,NA,62.9022,-143.7605,,M,M,M,M,M,M,M,M,M,M,M,M,M,,
8,1,0,336,M,2,Red,Camp to Confluence,9/28/2024,150.4,2,NA,62.9022,-143.7605,,A,A,A,M,M,AL,M,M,M,M,M,M,M,,
14,1,0,474,F,3,Orange,Bottom Section,9/28/2024,150.4,3,NA,62.8921,-143.7311,,A,M,M,M,M,M,M,M,M,M,M,M,M,,
16,1,0,470,F,4,Orange,Bottom Section,9/28/2024,150.4,4,NA,62.8921,-143.7311,,A,A,A,A,A,A,AL,AL,A,AL,AL,AL,AL,,
22,1,0,376,F,5,Orange,Bottom Section,9/28/2024,150.4,5,NA,62.8921,-143.7311,,A,A,A,AL,A,AL,AL,AL,AL,AL,AL,AL,A,weird 13,XX
13,1,0,330,M,6,Red,Camp to Confluence,9/28/2024,150.4,6,NA,62.9022,-143.7605,,A,A,A,A,A,A,AL,M,M,M,M,M,AL,,
12,1,0,338,M,7,Red,Camp to Confluence,9/28/2024,150.4,7,NA,62.9022,-143.7605,,A,AL,A,A,A,M,M,M,AL,AL,AL,AL,M,,
10,1,0,340,F,8,Red,Camp to Confluence,9/28/2024,150.4,8,NA,62.9022,-143.7605,,A,A,A,M,M,M,M,M,M,AL,M,AL,M,,
27,1,0,442,M,9,Orange,Bottom Section,9/28/2024,150.4,9,NA,62.8921,-143.7311,,A,A,M,AL,M,M,M,M,M,M,M,M,M,,
9,1,0,348,M,10,Red,Camp to Confluence,9/28/2024,150.4,10,NA,62.9022,-143.7605,,A,AL,AL,A,M,M,M,M,M,AL,M,M,M,,
7,1,0,344,M,11,Red,Camp to Confluence,9/28/2024,150.4,11,NA,62.9022,-143.7605,,A,A,A,A,A,A,A,AL,M,AL,AL,AL,AL,,
25,1,0,425,M,12,Orange,Bottom Section,9/28/2024,150.4,12,NA,62.8921,-143.7311,,A,A,A,A,AL,M,M,M,M,M,M,M,M,,
6,1,0,412,F,13,Red,Camp to Confluence,9/28/2024,150.4,13,NA,62.9022,-143.7605,,A,A,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,,
11,1,0,341,M,14,Red,Camp to Confluence,9/28/2024,150.4,14,NA,62.9022,-143.7605,,A,A,A,A,A,A,A,A,A,M,M,M,M,,
5,1,0,345,F,15,Red,Camp to Confluence,9/28/2024,150.4,15,NA,62.9022,-143.7605,,A,M,M,M,M,M,M,M,M,M,M,M,M,,
17,1,0,371,F,16,Orange,Bottom Section,9/28/2024,150.4,16,NA,62.8921,-143.7311,,A,A,A,A,A,A,A,A,A,A,A,A,A,,X
21,1,0,332,F,17,Orange,Bottom Section,9/28/2024,150.4,17,NA,62.8921,-143.7311,,A,A,A,A,A,A,A,M,M,M,M,M,M,,
3,1,0,415,M,18,Red,Camp to Confluence,9/28/2024,150.4,18,NA,62.9022,-143.7605,,A,AL,A,A,A,AL,AL,A,M,M,M,M,M,,
26,1,0,354,F,19,Orange,Bottom Section,9/28/2024,150.4,19,NA,62.8921,-143.7311,,A,AL,AL,A,A,M,M,M,M,M,M,AL,M,,
28,1,0,334,M,20,Orange,Bottom Section,9/28/2024,150.4,20,NA,62.8921,-143.7311,,A,A,A,A,A,M,M,M,M,M,M,M,M,,
18,1,0,360,F,21,Orange,Bottom Section,9/28/2024,150.4,21,NA,62.8921,-143.7311,,A,A,A,A,M,M,M,M,M,M,M,M,M,,
19,1,0,382,F,22,Orange,Bottom Section,9/28/2024,150.4,22,NA,62.8921,-143.7311,,A,M,M,M,M,M,M,M,M,M,M,AL,M,,
2,1,0,340,F,23,Red,Camp to Confluence,9/28/2024,150.4,23,NA,62.9022,-143.7605,,AL,AL,A,A,A,A,A,AL,AL,AL,A,A,A,,X
20,1,0,356,M,24,Orange,Bottom Section,9/28/2024,150.4,24,NA,62.8921,-143.7311,,A,A,A,M,M,M,M,M,M,M,M,M,M,,
4,1,0,410,F,25,Red,Camp to Confluence,9/28/2024,150.4,25,NA,62.9022,-143.7605,,A,AL,A,A,AL,A,AL,AL,AL,AL,AL,AL,AL,,
30,1,0,390,F,26,Orange,Bottom Section,9/28/2024,150.4,26,NA,62.8921,-143.7311,,A,A,AL,A,AL,A,A,A,A,A,A,A,A,,X
39,2,0,367,M,27,Orange,Bottom Section,9/28/2024,150.4,27,NA,62.8921,-143.7311,,A,AL,A,A,AL,A,AL,A,A,M,M,M,M,,
41,2,0,348,M,28,Blue,Lake Shore,9/28/2024,150.4,28,NA,62.915,-143.7578,,A,AL,AL,AL,A,A,AL,AL,A,A,A,A,AL,,XX
34,1,0,346,M,29,Orange,Bottom Section,9/28/2024,150.4,29,NA,62.8921,-143.7311,,A,A,A,A,A,A,A,AL,A,AL,A,A,A,,X
32,1,0,366,M,30,Orange,Bottom Section,9/28/2024,150.4,30,NA,62.8921,-143.7311,,A,AL,A,A,A,A,A,A,A,M,M,M,M,,
35,1,0,323,F,31,Orange,Bottom Section,9/28/2024,150.4,31,NA,62.8921,-143.7311,,A,A,A,A,A,A,M,M,M,M,M,M,M,,
40,2,0,342,M,32,Orange,Bottom Section,9/28/2024,150.4,32,NA,62.8921,-143.7311,,A,AL,A,A,A,A,AL,AL,AL,AL,AL,AL,M,,
38,2,0,376,M,33,Orange,Bottom Section,9/28/2024,150.4,33,NA,62.8921,-143.7311,,A,A,A,A,M,M,M,M,M,M,M,M,M,,
45,2,0,355,M,34,Blue,Lake Shore,9/28/2024,150.4,34,NA,62.915,-143.7578,,A,A,A,A,A,A,AL,AL,AL,AL,AL,AL,AL,,
29,1,0,353,M,35,Orange,Bottom Section,9/28/2024,150.4,35,NA,62.8921,-143.7311,,A,A,A,A,A,A,M,M,AL,AL,AL,AL,AL,,
31,1,0,358,M,36,Orange,Bottom Section,9/28/2024,150.4,36,NA,62.8921,-143.7311,,A,A,A,AL,A,A,AL,AL,AL,AL,AL,AL,AL,,
48,2,0,350,M,37,Blue,Lake Shore,9/28/2024,150.4,37,NA,62.915,-143.7578,,A,A,A,A,A,A,AL,A,M,M,M,M,M,,
36,2,0,348,F,38,Orange,Bottom Section,9/28/2024,150.4,38,NA,62.8921,-143.7311,,A,AL,A,A,AL,AL,AL,AL,AL,AL,M,AL,AL,,
47,2,0,351,M,39,Blue,Lake Shore,9/28/2024,150.4,39,NA,62.915,-143.7578,,A,A,A,A,A,A,AL,AL,AL,AL,AL,AL,AL,,
