"","n_surveys","homerange","totaldist","inside_lake","outside_lake","p_lake","inside_spawnarea","outside_spawnarea","p_spawnarea"
"1",1,NA,NA,0,1,"0.00 (NaN)",1,0,"1.00 (NaN)"
"2",4,11.9101201501237,11.9101201501237,0,4,"0.00 (0.00)",2,2,"0.50 (0.29)"
"3",2,1.58672940062722,1.58672940062722,0,2,"0.00 (0.00)",2,0,"1.00 (0.00)"
"4",8,37.8076890344389,71.9393246804651,1,7,"0.12 (0.12)",3,5,"0.38 (0.18)"
"5",6,26.6601177965176,27.8296558488472,0,6,"0.00 (0.00)",2,4,"0.33 (0.21)"
"6",7,5.56784928813151,10.3263341657059,6,1,"0.86 (0.14)",1,6,"0.14 (0.14)"
"7",5,5.44192127757505,6.90246835274089,4,1,"0.80 (0.20)",1,4,"0.20 (0.20)"
"8",4,11.9038790850477,11.9038790850477,0,4,"0.00 (0.00)",2,2,"0.50 (0.29)"
"9",3,6.89522404475353,6.89522404475352,0,3,"0.00 (0.00)",2,1,"0.67 (0.33)"
"10",3,1.83168840454879,1.83168840454879,1,2,"0.33 (0.33)",2,1,"0.67 (0.33)"
"11",8,7.12857458393012,14.5252394736867,5,3,"0.62 (0.18)",3,5,"0.38 (0.18)"
"12",5,15.7838302403712,18.4834356501059,0,5,"0.00 (0.00)",2,3,"0.40 (0.24)"
"13",3,2.46204769123956,2.80589781599959,1,2,"0.33 (0.33)",2,1,"0.67 (0.33)"
"14",10,52.8267606918568,102.931191510846,0,10,"0.00 (0.00)",3,7,"0.30 (0.15)"
"15",2,5.64701898011776,5.64701898011776,0,2,"0.00 (0.00)",1,1,"0.50 (0.50)"
"16",14,14.8400598564785,32.0635239204575,6,8,"0.43 (0.14)",2,12,"0.14 (0.10)"
"17",8,11.0071431743553,18.9529176650841,6,2,"0.75 (0.16)",2,6,"0.25 (0.16)"
"18",6,42.5898025947414,90.7488017235089,2,4,"0.33 (0.21)",1,5,"0.17 (0.17)"
"19",4,8.26285099771253,10.7377544113987,3,1,"0.75 (0.25)",1,3,"0.25 (0.25)"
"20",6,37.4733022102949,74.3128344018362,0,6,"0.00 (0.00)",2,4,"0.33 (0.21)"
"21",5,6.74761621306185,7.85614584264036,4,1,"0.80 (0.20)",1,4,"0.20 (0.20)"
"22",2,9.25247439307164,9.25247439307164,0,2,"0.00 (0.00)",1,1,"0.50 (0.50)"
"23",9,6.72751791716701,13.6062711393347,8,1,"0.89 (0.11)",1,8,"0.11 (0.11)"
"24",4,10.1106742758637,15.838622339125,0,4,"0.00 (0.00)",3,1,"0.75 (0.25)"
"25",5,6.2795353627544,8.98465972203568,3,2,"0.60 (0.24)",1,4,"0.20 (0.20)"
"26",12,20.3706503228582,28.1378109835975,4,8,"0.33 (0.14)",1,11,"0.08 (0.08)"
"27",7,10.3559466707736,19.5212399838401,5,2,"0.71 (0.18)",2,5,"0.29 (0.18)"
"28",8,31.358578948476,37.7583462406579,5,3,"0.62 (0.18)",0,8,"0.00 (0.00)"
"29",12,8.77932612630991,16.6409369931363,11,1,"0.92 (0.08)",1,11,"0.08 (0.08)"
"30",9,18.4298281340945,34.8278829326456,7,2,"0.78 (0.15)",1,8,"0.11 (0.11)"
"31",7,23.487288117099,53.5228019326892,2,5,"0.29 (0.18)",1,6,"0.14 (0.14)"
"32",6,11.5274030410496,14.6340399786664,4,2,"0.67 (0.21)",1,5,"0.17 (0.17)"
"33",5,27.594370426055,32.4573497438892,0,5,"0.00 (0.00)",1,4,"0.20 (0.20)"
"34",7,3.0238919755391,4.78197596327045,7,0,"1.00 (0.00)",0,7,"0.00 (0.00)"
"35",7,38.3174057723089,38.3174057723089,0,7,"0.00 (0.00)",1,6,"0.14 (0.14)"
"36",6,15.7550592852467,25.333896670678,2,4,"0.33 (0.21)",1,5,"0.17 (0.17)"
"37",8,5.6028635383219,9.71404312492004,7,1,"0.88 (0.12)",1,7,"0.12 (0.12)"
"38",4,7.66414153583435,9.51670687492617,2,2,"0.50 (0.29)",1,3,"0.25 (0.25)"
"39",7,7.61995303828087,14.5109827138227,5,2,"0.71 (0.18)",2,5,"0.29 (0.18)"
"40",4,5.31340097143872,5.94747938059339,1,3,"0.25 (0.25)",3,1,"0.75 (0.25)"
"41",6,4.36119854071692,7.26788805563031,5,1,"0.83 (0.17)",1,5,"0.17 (0.17)"
"42",7,5.00531656472985,11.3883919197708,6,1,"0.86 (0.14)",1,6,"0.14 (0.14)"
"43",5,41.4998979945175,85.9064698015586,3,2,"0.60 (0.24)",0,5,"0.00 (0.00)"
"44",7,7.30502072235864,10.7873819359692,5,2,"0.71 (0.18)",2,5,"0.29 (0.18)"
"45",4,23.6693301522951,23.6693301522951,0,4,"0.00 (0.00)",1,3,"0.25 (0.25)"
"46",5,77.0419312119357,77.0419312119357,0,5,"0.00 (0.00)",1,4,"0.20 (0.20)"
"47",9,6.39826886962669,10.6570565655047,7,2,"0.78 (0.15)",1,8,"0.11 (0.11)"
"48",4,2.91505610096937,4.56430421413099,4,0,"1.00 (0.00)",0,4,"0.00 (0.00)"
"49",4,8.01408750167568,10.459675739032,1,3,"0.25 (0.25)",2,2,"0.50 (0.29)"
"50",10,8.86119097887227,15.4919282668639,9,1,"0.90 (0.10)",1,9,"0.10 (0.10)"
"51",10,8.82126576615658,20.4261028284914,8,2,"0.80 (0.13)",2,8,"0.20 (0.13)"
"52",9,10.0782951130913,20.9360988017761,7,2,"0.78 (0.15)",2,7,"0.22 (0.15)"
"53",1,NA,NA,0,1,"0.00 (NaN)",1,0,"1.00 (NaN)"
"54",4,17.3683365935081,19.5900891988254,0,4,"0.00 (0.00)",1,3,"0.25 (0.25)"
"55",6,8.46540844831276,8.48600457535751,3,3,"0.50 (0.22)",3,3,"0.50 (0.22)"
"56",6,7.27302227840441,8.73508193190582,5,1,"0.83 (0.17)",1,5,"0.17 (0.17)"
"57",8,9.43238716658119,17.7572072393002,5,3,"0.62 (0.18)",3,5,"0.38 (0.18)"
"58",13,8.96932042156955,24.5279150710944,12,1,"0.92 (0.08)",1,12,"0.08 (0.08)"
"59",3,6.35982362544601,6.90868462598903,2,1,"0.67 (0.33)",1,2,"0.33 (0.33)"
"60",5,8.84962609317657,10.4659299558686,2,3,"0.40 (0.24)",3,2,"0.60 (0.24)"
"61",7,8.76296774842804,14.8353457991977,4,3,"0.57 (0.20)",2,5,"0.29 (0.18)"
"62",7,10.0752423787984,14.5014608884113,5,2,"0.71 (0.18)",2,5,"0.29 (0.18)"
"63",10,9.89386648759215,21.2249682200013,9,1,"0.90 (0.10)",1,9,"0.10 (0.10)"
"64",8,31.1372029336804,37.3785222650301,0,8,"0.00 (0.00)",2,6,"0.25 (0.16)"
"65",3,15.1465839881907,15.1465839881907,0,3,"0.00 (0.00)",1,2,"0.33 (0.33)"
"66",5,37.3456223981687,38.5862612069751,0,5,"0.00 (0.00)",2,3,"0.40 (0.24)"
"67",9,8.67059910316077,15.9624914573716,6,3,"0.67 (0.17)",3,6,"0.33 (0.17)"
"68",5,18.7947957917782,23.7957900175428,1,4,"0.20 (0.20)",1,4,"0.20 (0.20)"
"69",12,20.5431987444129,26.9197201384896,5,7,"0.42 (0.15)",1,11,"0.08 (0.08)"
"70",3,11.5122348584772,11.5122348584772,0,3,"0.00 (0.00)",2,1,"0.67 (0.33)"
"71",1,NA,NA,0,1,"0.00 (NaN)",1,0,"1.00 (NaN)"
"72",6,8.7644865248732,11.5175934385672,4,2,"0.67 (0.21)",2,4,"0.33 (0.21)"
"73",5,6.98799014554043,11.1593597453919,3,2,"0.60 (0.24)",2,3,"0.40 (0.24)"
"74",5,6.48443903463846,7.86909755209743,2,3,"0.40 (0.24)",3,2,"0.60 (0.24)"
"75",6,9.18512679094306,10.5562378213215,3,3,"0.50 (0.22)",3,3,"0.50 (0.22)"
"76",7,8.93269116964085,18.7131870081837,5,2,"0.71 (0.18)",2,5,"0.29 (0.18)"
"77",6,40.4763952442782,71.2145767643038,1,5,"0.17 (0.17)",3,3,"0.50 (0.22)"
"78",3,2.14350972377288,2.14350972377288,0,3,"0.00 (0.00)",3,0,"1.00 (0.00)"
"79",11,10.8406560013118,23.7724484953633,9,2,"0.82 (0.12)",2,9,"0.18 (0.12)"
"80",1,NA,NA,0,1,"0.00 (NaN)",1,0,"1.00 (NaN)"
"81",5,8.41417159254424,11.3742308928738,4,1,"0.80 (0.20)",1,4,"0.20 (0.20)"
"82",5,6.57533921093876,8.46882813847525,3,2,"0.60 (0.24)",2,3,"0.40 (0.24)"
"83",4,5.81906261303403,6.6156882373733,1,3,"0.25 (0.25)",3,1,"0.75 (0.25)"
"84",6,21.0997824382231,26.9349877293685,2,4,"0.33 (0.21)",3,3,"0.50 (0.22)"
"85",2,1.5018915139173,1.5018915139173,0,2,"0.00 (0.00)",2,0,"1.00 (0.00)"
"86",13,10.1545692361194,31.0823753898954,10,3,"0.77 (0.12)",3,10,"0.23 (0.12)"
"87",3,5.65941761119136,5.68001373823612,1,2,"0.33 (0.33)",2,1,"0.67 (0.33)"
"88",7,5.82889655731039,8.08511418023036,0,7,"0.00 (0.00)",6,1,"0.86 (0.14)"
"89",9,7.67470096389386,13.2562707736376,6,3,"0.67 (0.17)",2,7,"0.22 (0.15)"
"90",10,18.452284001538,28.9753637514766,6,4,"0.60 (0.16)",3,7,"0.30 (0.15)"
"91",1,NA,NA,0,1,"0.00 (NaN)",1,0,"1.00 (NaN)"
"92",11,12.1091477060651,19.8828742124633,8,3,"0.73 (0.14)",3,8,"0.27 (0.14)"
"93",5,6.70177588589837,6.78977085054665,2,3,"0.40 (0.24)",3,2,"0.60 (0.24)"
"94",4,9.0094049078065,12.2109878170845,0,4,"0.00 (0.00)",2,2,"0.50 (0.29)"
"95",5,32.4469781716689,45.2062857722939,0,5,"0.00 (0.00)",1,4,"0.20 (0.20)"
"96",7,3.14535463018136,4.87296416526168,0,7,"0.00 (0.00)",7,0,"1.00 (0.00)"
"97",10,9.50735480332712,17.3239122492883,7,3,"0.70 (0.15)",3,7,"0.30 (0.15)"
"98",6,7.93136705463321,11.9117945234861,4,2,"0.67 (0.21)",2,4,"0.33 (0.21)"
"99",10,12.0190534328063,15.557958089231,5,5,"0.50 (0.17)",0,10,"0.00 (0.00)"
"100",4,17.9581933350833,19.3073861096515,0,4,"0.00 (0.00)",1,3,"0.25 (0.25)"
