"","0 to 1","1 to 2","2 to 3","3 to 4","4 to 5","5 to 6","6 to 7","7 to 8","8 to 9","9 to 10","10 to 11","11 to 12","12 to 13"
"2","down","down","down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","up","down","down","down","down","up",NA,NA,NA,NA,NA,NA,NA
"5","down","down","down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","up","down","up","down","up","down",NA,NA,NA,NA,NA,NA,NA
"7","up",NA,NA,"up","down",NA,NA,NA,NA,NA,NA,NA,NA
"8","down","down","up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","down","down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","up","up","up","down","up","down","up",NA,NA,NA,NA,NA,NA
"12","up","down","down","down",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","up","up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","down","down","down","down","down","down","down","up","up",NA,NA,NA,NA
"15","down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","up","down","up","up","down","down","up","down","up","0","0","up","down"
"17","up","down","up","up","up","down","down",NA,NA,NA,NA,NA,NA
"18","down",NA,NA,"up","down",NA,NA,NA,NA,NA,NA,NA,NA
"19","up",NA,NA,NA,"down",NA,NA,NA,NA,NA,NA,NA,NA
"20","down","down","down","up","up",NA,NA,NA,NA,NA,NA,NA,NA
"21","up","up","up","down",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,"down","down","down","up",NA,NA,NA,NA,"up","0"
"24","up","down","down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","down",NA,NA,"up",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","up","up",NA,NA,NA,NA,"up","down","0","down","down","up","0"
"27","down",NA,NA,"up",NA,NA,NA,NA,"down",NA,NA,NA,NA
"28","up",NA,NA,NA,NA,"down",NA,NA,NA,"down","up","down",NA
"29","up","up","up","up","down","down","up",NA,NA,NA,NA,"up","up"
"30","down",NA,NA,"up","down","down","up","down","down",NA,NA,NA,NA
"31","down","down","down","up","down","down",NA,NA,NA,NA,NA,NA,NA
"32","down",NA,NA,"up","up","down",NA,NA,NA,NA,NA,NA,NA
"33","down","up","down","up",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","up","down","up","up","down","down",NA,NA,NA,NA,NA,NA,NA
"35","down","down","down","down","down","down",NA,NA,NA,NA,NA,NA,NA
"36","down","down","up",NA,NA,"down",NA,NA,NA,NA,NA,NA,NA
"37","down","up","up","up","0","down",NA,NA,NA,NA,NA,NA,NA
"38","up",NA,NA,"down",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","up","down","up","down","down","up",NA,NA,NA,NA,NA,NA,NA
"40","up","up","up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","down","up","up","down",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","down",NA,NA,"down","0","down","up",NA,NA,NA,NA,NA,NA
"43","up",NA,NA,NA,"up","down",NA,NA,NA,NA,NA,NA,NA
"44","down","down","up","up","down","up",NA,NA,NA,NA,NA,NA,NA
