"","1 Spawning to 2 Winter","2 Winter to 3 Summer"
"4",-33.429033069424,NA
"5",-25.2703074692737,NA
"6",0.588701037995814,NA
"7",2.11009411699757,NA
"11",4.69117746369909,-0.148861000543033
"14",-41.9074630816167,-4.34377334441923
"16",-3.95535945246923,-8.36293592638221
"17",6.48198287544385,NA
"18",12.1279087852108,-40.7334000679299
"19",3.10867306930913,NA
"20",15.4759181015521,NA
"23",NA,-1.29382225846212
"28",0.737562038538818,NA
"29",3.61023287302626,-4.22088477791692
"30",13.940940426033,-0.548861000543036
"31",11.2606374092513,NA
"32",7.88899512628532,NA
"34",2.46509923330801,NA
"35",-22.2546110311012,NA
"36",6.81386069485997,NA
"37",5.6028635383219,-0.399999999999981
"39",-3.50804191536967,NA
"42",4.41661552673406,NA
"43",-0.348861000542996,NA
"44",4.42475610699313,NA
"47",6.39826886962669,-0.759668629035511
"50",5.22897596903178,2.5716366647553
"51",4.93418929915046,-2.35981206876608
"52",6.93743488689242,-0.247982554412662
"55",7.36778799130981,NA
"56",-1.10852962957851,NA
"58",0,1.44924811316163
"60",6.62417250784848,NA
"61",7.16494092741494,NA
"62",4.57210367247109,NA
"63",3.36742184647495,-0.662297487193658
"64",-25.4021479030402,2.77107992794687
"67",3.82156361232797,2.74307037162375
"69",0.348861000542999,-17.65792253507
"72",6.5055318788685,NA
"73",4.40583236016632,NA
"75",7.51289941137375,NA
"76",4.30795391678505,NA
"77",-34.6839778740691,NA
"79",4.01174545136184,-1.86205965350142
"82",5.78116114096644,NA
"86",5.56655029631494,-0.55966862903549
"88",-0.0764252453249283,NA
"89",-5.91014904606469,-0.199999999999995
"92",8.16088196578642,-0.447982554412686
"96",0.3037443687481,NA
"97",6.64749158564715,-3.62035914393193
"99",0.39999999999999,-8.95378297768409
