"","Unique","Survey","Length","Sex","Date","Freq","Code","Fate","Latitude","Longitude","seg","vert","x","y","lake","spawn"
"1",1,0,362,"F",2024-09-28,150.4,1,"A",62.9022,-143.7605,155,9,517111.586581087,1476782.82811516,FALSE,TRUE
"2",1,1,362,"F",2024-10-16,150.4,1,"M",62.83775,-143.693,76,23,521606.641218914,1470193.11775231,FALSE,FALSE
"3",1,2,362,"F",2024-10-24,150.4,1,"M",62.78282,-143.76783,89,187,518792.08298655,1463540.42897707,FALSE,FALSE
"4",1,3,362,"F",2024-11-01,150.4,1,"M",62.7813414,-143.7660264,89,186,518908.172371692,1463391.2042843,FALSE,FALSE
"5",1,4,362,"F",2024-12-27,150.4,1,"M",62.7822964,-143.7647581,89,185,518955.584108498,1463506.5968832,FALSE,FALSE
"6",1,5,362,"F",2025-03-17,150.4,1,"M",62.7824631,-143.7660381,89,185,518888.339033228,1463515.00766598,FALSE,FALSE
"7",1,6,362,"F",2025-05-19,150.4,1,"M",62.7834847,-143.7639331,89,183,518976.690583555,1463644.29415087,FALSE,FALSE
"8",1,7,362,"F",2025-06-11,150.4,1,"M",62.7831797,-143.7656547,89,185,518895.329254201,1463597.15362307,FALSE,FALSE
"9",1,8,362,"F",2025-07-22,150.4,1,"M",62.7817997,-143.7653664,89,186,518933.508494739,1463446.98182003,FALSE,FALSE
"10",1,9,362,"F",2025-09-08,150.4,1,"M",62.78429,-143.76452,89,182,518933.351881895,1463728.65501342,FALSE,FALSE
"11",1,10,362,"F",2025-09-24,150.4,1,"M",62.78426,-143.76161,89,179,519080.231712218,1463748.08330346,FALSE,FALSE
"12",1,11,362,"F",2025-10-10,150.4,1,"M",62.78497,-143.76525,89,181,518884.967252099,1463798.05858664,FALSE,FALSE
"13",1,12,362,"F",2025-10-22,150.4,1,"M",62.7796,-143.76645,89,191,518916.739948405,1463195.55180448,FALSE,FALSE
"14",1,13,362,"F",2025-10-29,150.4,1,"M",62.78256,-143.76349,89,185,519014.846721916,1463545.62194934,FALSE,FALSE
"15",8,0,336,"M",2024-09-28,150.4,2,"A",62.9022,-143.7605,155,9,517111.586581087,1476782.82811516,FALSE,TRUE
"16",8,1,336,"M",2024-10-16,150.4,2,"A",62.891,-143.73293,58,28,518685.579198946,1475760.91458464,FALSE,TRUE
"17",8,2,336,"M",2024-10-24,150.4,2,"A",62.87694,-143.74285,75,51,518430.170390725,1474130.7043019,FALSE,FALSE
"18",8,3,336,"M",2024-11-01,150.4,2,"A",62.8573464,-143.6950214,68,10,521166.655771255,1472341.25913462,FALSE,FALSE
"19",8,4,336,"M",2024-12-27,150.4,2,"M",62.8346814,-143.6915081,1,2,521734.560295691,1469865.97311131,FALSE,FALSE
"20",8,5,336,"M",2025-03-17,150.4,2,"M",62.8339797,-143.6935497,89,4,521644.184660118,1469772.44691393,FALSE,FALSE
"21",8,7,336,"M",2025-06-11,150.4,2,"M",62.8343981,-143.6925597,89,3,521686.659644312,1469826.42729258,FALSE,FALSE
"22",8,8,336,"M",2025-07-22,150.4,2,"M",62.8354547,-143.6952697,76,26,521532.350537554,1469921.82256372,FALSE,FALSE
"23",8,9,336,"M",2025-09-08,150.4,2,"M",62.83428,-143.69484,89,5,521574.215702837,1469795.47473264,FALSE,FALSE
"24",8,10,336,"M",2025-09-24,150.4,2,"M",62.83469,-143.69338,89,2,521640.432812295,1469852.21822351,FALSE,FALSE
"25",8,11,336,"M",2025-10-10,150.4,2,"M",62.8351,-143.69242,1,2,521681.545502029,1469905.03523588,FALSE,FALSE
"26",8,12,336,"M",2025-10-22,150.4,2,"M",62.83491,-143.69345,1,1,521633.117530991,1469875.9629641,FALSE,FALSE
"27",8,13,336,"M",2025-10-29,150.4,2,"M",62.83386,-143.69103,1,11,521772.757838082,1469779.0226144,FALSE,FALSE
"28",14,0,474,"F",2024-09-28,150.4,3,"A",62.8921,-143.7311,58,30,518758.356710011,1475896.68726891,FALSE,TRUE
"29",14,1,474,"F",2024-10-16,150.4,3,"A",62.88579,-143.72584,49,16,519130.628802565,1475240.94657445,FALSE,TRUE
"30",14,2,474,"F",2024-10-24,150.4,3,"M",62.85655,-143.69659,60,4,521101.717517606,1472241.00471589,FALSE,FALSE
"31",14,3,474,"F",2024-11-01,150.4,3,"M",62.8571681,-143.6955914,68,15,521141.139948993,1472317.09669953,FALSE,FALSE
